Item Class;Item Class Name;Boundaries;Maintenance Strategy Overview;Scope;Parent Item Class;Other Associated Item Classes;Notes;Task Template ID;Definition;Application;Justification;Low Risk Frequency;Unit Low;Medium Risk Frequency;Unit Medium;High Risk Frequency;Unit High
WTUV;Fresh Water Sterilizer, UV;"Includes UV lamp ballasts
Includes UV intensity sensors
Includes Quartz sleeves
Includes O-rings and seals for UV lamp assemblies
Includes Water quality sensors
Includes Control system software/firmware
Includes Sterilizer package
Includes UV lamp assemblies
Includes Sterilizer structure
Includes Cabling, glanding and earthing
Excludes Local Control Panel and Power Supply Unit";;;;;;;;;;;;;;;
VECP;Calibration Pot;"Includes:
- the column and its fittings.
Excludes:
- the pumps and other instrumentation";;;;;;;;;;;;;;;
VESP;Striper;"Includes internal packing/seals
Includes internal trays/baffles
Includes internal spray nozzles/distributors
Includes internal level control mechanisms
Includes internal pressure relief devices
Includes internal heating/cooling coils
Includes internal corrosion monitoring points
Includes internal sample points
Includes the column, its fittings and its supporting structure";;;;;;;;;;;;;;;
HEDS;De-Superheater;"Includes spray nozzle cleaning system
Includes insulation and cladding
Includes support structure and mounting
Includes low pressure / temperature alarm
Excludes regulating / control valves
Excludes pipe line strainers";;;;;;;;;;;;;;;
HYAT;Hydraulic Accumulator;"Includes vessel, its fittings and its internal bladder or piston
Includes mounting brackets
Includes seals and gaskets";;;;;;;;;;;;;;;
HBNF;Non Hc Fired Boiler;"Includes burner assembly
Includes fuel supply system
Includes flue gas system
Includes safety interlocks
Includes dampers
Includes insulation and lagging
Includes the steam coil heaters
Includes the vessel, its fittings and its supporting structure";;;;;;;;;;;;;;;
VEPU;Damper, Pulsation;"Includes mounting bolts and fasteners
Includes seals and gaskets
Includes internal springs or damping elements
Includes actuation mechanism (if applicable)
Includes support structure and brackets
Includes the vessel, its fittings and its internal bladder or piston";;;;;;;;;;;;;;;
VECO;Contactor;"Includes internal contacts
Includes internal coils
Includes internal arc chutes
Includes internal springs
Includes internal auxiliary contacts
Includes internal wiring/cabling
Includes internal terminal blocks
Includes the vessel, its fittings and its supporting structure";;;;;;;;;;;;;;;
VEHY;Hydrocylcone;"Includes:
- the integrity of local instrumentation
- hydrocyclone

Excludes:
- the functional aspects of local instrumentation and controls";;;;;;;;;;;;;;;
VESE;Separator;"Includes:
- the integrity of local instrumentation
- the vessel
- manual Drain, purge  and vent Valves fitted on the vessel

- internal necessary for the fluids separation, as calming baffle, plate pack, vane pack, demister, sand jetting etc…

- thermal protection when fitted
- passive fire protection when fitted
- pressure Vessel supporting structure

Excludes:
- the functional aspects of local instrumentation

- Scrubbers VESB, 
- Coalescer VECA
- oily water separators VEPR
- hyrdocyclone separators VEHY";;;;;;;;;;;;;;;
VEOW;Oil Separator;"Includes internal baffles
Includes internal weirs
Includes internal coalescing media
Includes internal vortex breakers
Includes internal level control instrumentation
Includes internal pressure control instrumentation
Includes internal temperature control instrumentation
Includes internal access hatches and manways
Includes internal insulation or cladding
Includes internal corrosion monitoring points
Includes internal sampling points
Includes the integrity of local instrumentation
Includes the vessel
Includes internal components that aid in the processing of the gas / liquid such as baffles, weirs
Includes thermal protection when fitted
Includes passive fire protection when fitted
Excludes demisters
Excludes pumps and re-circulation units";;;;;;;;;;;;;;;
VESB;Scrubber;"Includes internal nozzles and spray systems
Includes internal level control devices
Includes internal pressure relief devices
Includes internal access hatches and manways
Includes internal corrosion monitoring points
Includes internal heating/cooling coils
Includes the integrity of local instrumentation
Includes the vessel
Includes internal necessary for the fluids separation, as calming baffle, plate pack, vane pack, sand jetting etc…
Includes thermal protection when fitted
Includes passive fire protection when fitted
Excludes demister
Excludes the functional aspects of local instrumentation, except for IG scrubbers
Excludes Separators VESE, Coalescer VECA, oily water separators VEPR, hyrdocyclone separators VEHY currently covered under different EST";;;;;;;;;;;;;;;
LHPE;Padeyes;"Includes Inspection access points
Includes the main body of the padeye
Includes the opening (eye)
Includes the welds and/or thread/bolts associated";;;;;;;;;;;;;;;
MIST;Mixer, Static;"Includes mounting hardware
Includes seals/gaskets
Includes internal baffles/vanes
Includes internal mixing elements
Includes the mixer
Excludes the piping line";;;;;;;;;;;;;;;
HEAC;Heat Exchanger, Air-cooled;"Includes Drive belts
Includes Lubrication system
Includes Vibration dampers
Includes Thermal insulation
Includes The exchanger, its fittings and any supporting structure
Includes Pipework
Includes Air cooling coil
Excludes Motor, Electric
Excludes Fan";;;;;;;;;;;;;;;
RFFR;Riser;Excludes Umbilical Terminations;;;;;;;;;;;;;;;
VECT;Cargo Oil Tank;"Includes inspection access points
Includes cleaning nozzles
Includes structural welds/joints
Includes corrosion monitoring points
Includes the tank
Includes its fittings and its supporting structure
Includes hatch, Swivel support, hand wheel spindle
Excludes sacrificial anodes utilized to protect the Cargo Oil Tank
Excludes Storage Tanks (VEST)
Excludes Cargo Valves. (VAXV)
Excludes Eductors (PUED)";;;;;;;;;;;;;;;
VEPR;Vessel, Pressure;"Includes internal baffles or trays
Includes internal vortex breakers
Includes internal heating/cooling coils
Includes internal insulation and cladding
Includes internal access platforms and ladders
Includes internal cathodic protection anodes
Includes internal pressure relief devices (if not PSV)
Includes internal drain and vent connections
Includes internal pressure taps
Includes internal sample points
Includes internal mixing or agitation devices
Includes internal corrosion monitoring points
Includes internal flame arrestors
Includes internal structural supports and brackets
Includes internal leak detection systems
Includes internal vapor recovery connections
Includes internal emergency venting systems
Includes internal overfill prevention systems
Includes internal grounding and bonding connections
Includes the vessel, its fittings and its supporting structure
Excludes Bottle Rack (has own EMS)";;;;;;;;;;;;;;;
VASC;PSV-Conventional;"Includes PSV spring
Includes PSV seat
Includes PSV nozzle
Includes PSV body
Includes PSV bonnet
Includes PSV gaskets
Includes PSV pilot system (if applicable)
Includes PSV lifting device
Includes PSV test gag
Includes PSV bellows
Excludes upstream and downstream PSV Isolation valves
Excludes Other over/underpressure protection devices such as: bursting discs, buckling pins, vacuum breakers, pressure-vacuum valves and anti-surge valves, high velocity vent valves";;;;;;;;;;;;;;;
VASV;PSV-Vacuum Relief;"Includes internal diaphragm or bellows
Includes internal spring mechanism
Includes internal seat and disc assembly
Includes internal gaskets and seals
Includes internal venting mechanism
Excludes air release valves normally used on pumping systems
Excludes pressure safety valves
Excludes pressure/vacuum breakers fitted with water seals
Excludes breather type valves";;;;;;;;;;;;;;;
VAMB;Valve, Monoflange Block and Bleed;"Includes positioner
Includes stem packing/seals
Includes bonnet gasket
Includes stem/bonnet bolts
Includes stem guide/bushing
Includes stem/disc connection
Includes handwheel/gear operator
Includes stem/disc wear parts
Includes stem/disc corrosion protection
Includes stem/disc alignment
Includes stem/disc lubrication
Includes stem/disc cleaning
Includes stem/disc inspection ports
Includes stem/disc test points
Includes flanges & joints
Includes internal components
Excludes Instrument isolated by the monoflange valve
Excludes Piping";;;;;;;;;;;;;;;
VAVX;Valve, 4-Way;"Includes:
- valve body, flanges & joints, internal components, piping connections

Excludes:
- instrumentation, positional indicators, etc.
- valve actuators";;;;;;;;;;;;;;;
VANE;Valve, Needle;"Includes:
- valve body, internal components and piping connections


Excludes:
- valve actuators";;;;;;;;;;;;;;;
VASS;Valve, Shipside;Excludes limit switches;;;;;;;;;;;;;;;
VAVW;Valve, 3-Way;"Includes internal components and piping connections
Excludes valve actuators";;;;;;;;;;;;;;;
SPVI;Valve Interlock;"Includes Locking mechanism
Includes Key system
Includes Control wiring
Includes Mounting hardware
Excludes valve itself
Excludes actuator";;;;;;;;;;;;;;;
VAMO;Motor Operated valve;"Includes Motorized actuator
Includes Position feedback device
Includes Electrical wiring and connections
Includes Seals and gaskets
Includes Mounting hardware
Excludes Valve, 3-way
Excludes Valve, angle
Excludes Valve, ball
Excludes Valve, butterfly
Excludes Valve, choke
Excludes Valve, globe
Excludes Valve, mono-flange
Excludes Valve, plug
Excludes Hydraulic and Pneumatic actuators";;;;;;;;;;;;;;;
VECD;Cofferdam;"Includes Access hatches and doors
Includes Structural welds and joints
Includes Fire sealing materials
Includes Void spaces
Includes Chain Storage
Includes the tank/space, its fittings and its supporting structure
Includes Main Deck
Excludes Steering Gear Room
Excludes Cargo Oil Tank (Own EMS: VECT)";;;;;;;;;;;;;;;
JAJF;Doors/Ports/Windows;"Includes Window frames, hinges, handles, locking and latching mechanisms
Includes Window closing devices and self-closing arrangements
Includes Port frames, hinges, handles, locking and latching mechanisms
Includes Port closing devices and self-closing arrangements
Includes Window and port seals/gaskets
Includes Window and port glazing/panes
Includes Window and port actuators (if motorized/automated)
Includes Watertight doors
Includes Weathertight doors
Includes Fire-rated doors
Includes Door frames, hinges, handles, locking and latching mechanisms
Includes Door closing devices and self-closing arrangements";;;;;;;;;;;;;;;
PKCL;Cleaning in Place Package;"Includes Chemical injection nozzles
Includes Piping and tubing connections
Includes A chemical mixing tank
Excludes Recirculation pumps
Excludes Inline cartridge filters
Excludes Safety devices (e.g., pressure relief valves)";;;;;;;;;;;;;;;
PKHF;Helifuel Package;"Includes Fuel delivery hose, hose reel and fuel delivery nozzles
Includes Filtration Units
Includes Earthing/bonding (EPU) and aircraft bonding leads
Excludes Pressure/vacuum relief valves
Excludes Suction hose and hose coupling
Excludes Flow Meter
Excludes Pressure Gauges
Excludes Helifuel supply";;;;;;;;;;;;;;;
COBL;Blower;"Includes Lubrication system
Includes Seals and gaskets
Includes Couplings
Includes Mounting bolts and fasteners
Includes Vibration dampers
Excludes Driver (electric motor – DREM), maintained at lower level (MLL) when child of blower
Excludes Gearbox (DRGB), when installed, maintained at lower level (MLL)";;;;;;;;;;;;;;;
GYHO;Hood, Galley;"Includes Drainage system for grease collection
Includes Hood mounting hardware and fasteners
Includes Hood insulation and thermal protection
Includes Flexible connections, bellows, covers, and fixtures integral to the exhaust system
Excludes Exhaust fans and motors";;;;;;;;;;;;;;;
DRGS;Engine, Gas;"Includes Engine-mounted vibration dampers
Includes Engine-mounted electrical wiring and connectors
Includes Engine-mounted safety shutdown devices
Includes Local engine-mounted control and protection systems
Includes Local instrumentation and sensors mounted on the engine
Includes Starting system (excluding starting energy storage)
Includes Air intake and exhaust systems
Excludes Silencers
Excludes Starting energy storage systems (batteries, air receivers, hydraulic accumulators)
Excludes Driven equipment (generators, pumps, compressors, etc.)";;;;;;;;;;;;;;;
HVAH;Air  handling Unit;"Includes Vibration isolators
Includes Thermal insulation
Includes Seals and gaskets
Includes Drain traps
Includes Humidification/dehumidification components
Includes AHU casing, structure, access doors and internal compartments
Includes Heat exchange coils (cooling and/or heating coils integral to the AHU)
Includes Sound attenuators integrated within the AHU
Includes Drain pans and local drainage system
Excludes Fan(s) and associated drive motor(s) integral to the AHU
Excludes Dampers (fire, control, volume, pressure)
Excludes Central HVAC control systems or BMS
Excludes Condensing units, chillers, boilers or external thermal energy sources
Excludes Electric heaters when managed under a dedicated item class";;;;;;;;;;;;;;;
HVFA;Fan;"Excludes Electric or hydraulic motors and motorization systems
Excludes Dampers and air flow control devices";;;;;;;;;;;;;;;
HVAU;Air Conditioning Unit;"Includes Crankcase heater
Includes Defrost system components
Includes Vibration isolators/mounts
Includes Control transformer
Includes Capacitors (start/run)
Includes Thermostats
Includes Condensate drain pan and piping
Includes Insulation on refrigerant lines
Includes Condenser (air‑cooled or water‑cooled)
Includes Local control and protection system associated with the HVAU
Includes Emergency Stop device acting directly on the HVAU
Includes Instrumentation and sensors required for local operation and protection
Excludes Compressor
Excludes Oil separator
Excludes Condenser fans and fan motors (when air‑cooled)
Excludes Evaporator and air distribution components (fan coils, ducts, diffusers)
Excludes Fans and motors not directly associated with the refrigerant condensation process
Excludes Central HVAC control systems or BMS
Excludes Dampers, ductwork, and air handling systems
Excludes External cooling water supply system (when water‑cooled), limited to interface points";;;;;;;;;;;;;;;
HVDE;Dehumidifier;"Includes Seals and gaskets
Includes Belt tensioners and alignment components
Includes Desiccant rotor and drive mechanism (including belts and pulleys)
Excludes Process air fans and associated drive motors
Excludes Reactivation air fans and associated drive motors
Excludes Reactivation heaters (electric or steam, when integral to the unit)
Excludes Process and reactivation air filters
Excludes Local or remote control panels maintained at lower level (MLL)
Excludes Gas detection systems maintained at lower level (MLL)
Excludes Pressure safety valves associated with steam regeneration systems, maintained at lower level (MLL)
Excludes External HVAC systems such as condensing units, fan coil units or chiller packages";;;;;;;;;;;;;;;
IPFE;Flow element;"Excludes Flow Orifice Element
Excludes Flow Orifice Restriction (IPRO)";;;;;;;;;;;;;;;
HVFC;Fan Coil Unit;"Includes Drain pan and condensate drain line
Includes Electrical connections and terminal blocks
Includes Heat exchange coil (cooling coil)
Includes Local casing, structure, supports and mountings
Excludes Air handling units and package HVAC systems (AHU / PACU / HVAV)
Excludes Central or upstream cooling medium generation and circulation systems (chillers, refrigerant plant, pumps, headers)
Excludes Distribution ductwork beyond the fan coil outlet
Excludes Central HVAC control systems or BMS";;;;;;;;;;;;;;;
HYPL;Hydraulic Control Unit;"Includes Internal electrical wiring and connectors
Includes Internal pressure transducers
Includes Internal manual override mechanisms
Includes Internal drain ports and plugs
Includes Internal breathers and vents
Includes Internal mounting brackets and supports
Includes Internal shock absorbers or dampers
Includes Internal contamination monitoring devices
Excludes Filters and filter condition indication devices mounted on the panel
Excludes Local pressure indication devices mounted on the panel
Excludes Hydraulic power generation systems (e.g. pumps, reservoirs, accumulators outside the panel)
Excludes Central hydraulic supply and return piping beyond the panel boundary
Excludes Electrical power supply systems external to the panel
Excludes Field‑mounted actuators or driven equipment outside the panel
Excludes Instrumentation not physically mounted within the hydraulic panel
Excludes Structural supports, skids, or foundations external to the panel";;;;;;;;;;;;;;;
DRHM;Motor, Hydraulic;"Includes integral drain plugs
Includes integral port adapters
Includes integral mounting bolts
Excludes integral filters
Excludes external hydraulic power supply systems (standalone pumps, reservoirs, accumulators, external piping)
Excludes external lubrication or cooling systems (remote coolers, external filters, external oil treatment units)
Excludes monitoring and control systems (sensors, instrumentation, control electronics, control valves)
Excludes structural supports not integral to motor construction (skids, frames, standalone base structures)
Excludes transmission equipment not integral to the motor (gearboxes, shafts, couplings not built into motor assembly)
Excludes associated prime movers (electric motors, diesel engines, or other drivers not part of the hydraulic motor assembly)
Excludes safety and shutdown systems (external relief valves, shutdown logic, protective enclosures)";;;;;;;;;;;;;;;
PUAD;Air Driven Pump;"Includes Diaphragm rupture detection mechanism
Includes air distributor assembly
Includes internal seals, gaskets, and diaphragms
Includes air intake system (enclosure, joints, flex hoses, flanges)
Includes air regulator drain
Excludes Air filter
Excludes Strainer/filter housing, filter element, filter seals
Excludes automation/control logic, sensors, transmitters, and associated wiring
Excludes downstream process piping beyond the pump connection points
Excludes isolation valves not integral to the pump assembly";;;;;;;;;;;;;;;
GETY;Special Tool;"Includes integral safety interlocks or emergency stop mechanisms
Includes integral software/firmware for control and calibration
Includes tool body
Includes power module
Includes drive head
Includes adapters used to apply force/torque/pressure during maintenance
Includes integral control/measurement elements essential to tool function (built in torque/pressure setting and readout mechanisms)
Includes tool specific hoses, cables, quick connects, manifolds, reaction arms, and fixtures that are supplied with and dedicated to the tool’s safe operation
Includes consumable parts unique to the tool that affect function (seals, wear pads, reaction pins) when defined as maintainable items for maintenance
Excludes integral regulators/valves
Excludes integral hydraulics/pneumatics/electrics within the tool assembly
Excludes monitoring and control systems that are plant level or portable test instruments not integral to the tool (general multimeters, standalone data loggers)
Excludes calibration laboratories/services and enterprise records beyond the tool’s own attached certificates";;;;;;;;;;;;;;;
SPSV;Special Valve;"Includes Seals and gaskets
Includes Stem and stem packing
Includes Bonnet and bonnet bolts
Includes Internal trim components (e.g., seat, disc, plug)
Includes Internal and external mechanical components
Excludes Limit switches when fitted";;;;;;;;;;;;;;;
LBFF;Lifeboat, Free Fall;"Includes Lifeboat hull and structure
Includes Lifeboat seating and restraints
Includes Lifeboat ventilation and air supply systems
Includes Lifeboat fuel system
Includes Lifeboat electrical system (excluding starting energy storage)
Includes Lifeboat launching and recovery systems
Includes Lifeboat propulsion and steering systems
Includes Release and separation systems
Includes Local controls and protection required to execute launch/recovery
Includes Safety and survival systems
Excludes Lifeboat diesel engine and starting systems
Excludes Navigation systems
Excludes Pyrotechnics (LSPI)";;;;;;;;;;;;;;;
LBDL;Lifeboat, Davit Launched;"Includes Lifeboat hull and structure
Includes Lifeboat ventilation and air supply systems
Includes Lifeboat electrical distribution and lighting
Includes Lifeboat launching and recovery systems
Includes Lifeboat propulsion and steering systems
Includes Release and Separation Systems
Includes Local controls and protection required to execute launch/recovery
Excludes Lifeboat diesel engine and starting systems
Excludes Navigation systems
Excludes Communication equipment (radios and external communication systems)
Excludes Pyrotechnics (LSPI)";;;;;;;;;;;;;;;
WILI;Winch, Linear;"Includes Brake system
Includes Lubrication system
Includes Structural frame and supports
Includes Mobile Griper
Includes Fixed Griper
Includes Top Plate
Includes Wire rope
Excludes Hydraulic cylinders, hoses and pipes
Excludes Hydraulic power unit";;;;;;;;;;;;;;;
FGPD;Portable detector;"Includes Personal Gas Detector
Includes Area Transportable Gas Detector
Includes Portable Benzene/VOC Monitoring Device
Includes Benzene Monitor
Includes Xylene Monitor
Includes Radiation Exposure Monitor
Includes Radiation Personal Dosimeter
Includes LSA/NORM Monitor
Excludes Oxygen (O₂) Analyzer, Portable
Excludes Fixed gas detectors and analyzers
Excludes Laboratory analyzers or non-portable instruments";;;;;;;;;;;;;;;
DRDE;Engine, Diesel;"Includes Engine-mounted turbocharger
Includes Engine-mounted vibration dampers
Includes Engine-mounted flywheel
Includes Engine-mounted crankshaft
Includes Engine-mounted camshaft
Includes Engine-mounted pistons and rings
Includes Engine-mounted connecting rods
Includes Engine-mounted cylinder liners
Includes Engine-mounted cylinder head
Includes Engine-mounted fuel injectors
Includes Engine-mounted glow plugs
Includes Engine-mounted timing belt/chain
Includes Engine-mounted coolant thermostat
Includes Engine-mounted alternator
Includes Engine-mounted exhaust manifold
Includes Engine-mounted intake manifold
Includes Engine-mounted DPF
Includes Engine-mounted SCR system
Includes Engine-mounted crankcase ventilation system
Includes Engine-mounted oil cooler
Includes Engine-mounted intercooler
Includes Local engine-mounted control and protection systems
Includes Local instrumentation and sensors mounted on the engine
Includes Starting system (excluding starting energy storage)
Includes Air intake and exhaust systems
Includes Engine-mounted heat exchangers and coolers
Excludes Silencers
Excludes Starting energy storage systems (batteries, air receivers, hydraulic accumulators)
Excludes Driven equipment (generators, pumps, compressors, etc.)
Excludes Lifeboat and rescue boat diesel engines";;;;;;;;;;;;;;;
LBRB;Rescue Boat;"Includes Fuel system
Includes Bilge pumping system
Includes Anchoring and mooring equipment
Includes Release and recovery interface systems
Excludes Rescue boat propulsion and steering systems
Excludes Rescue boat launching and recovery systems";;;;;;;;;;;;;;;
LBHH;Work Boat;"Includes Fuel system
Includes Communication equipment
Excludes Work boat propulsion and steering systems
Excludes Local control and monitoring systems required for navigation and operation
Excludes Work boat launching and recovery systems
Excludes Davit and winch systems";;;;;;;;;;;;;;;
LADY;Dryer, Laundry;"Includes Heating element
Includes Thermostat
Includes Timer
Includes Belt
Includes Door latch
Includes Enclosure";;;;;;;;;;;;;;;
LAWA;Washing Machine, Laundry;"Includes Heating element
Includes Door latch mechanism
Includes Suspension system
Includes Control board
Includes Timer
Includes Door seal
Includes Detergent dispenser
Includes enclosure";;;;;;;;;;;;;;;
HBEB;Electric Boiler;"Includes Thermal insulation
Includes Chemical dosing system
Includes Condensate return system
Includes Boiler water sampling point
Includes Exhaust vent
Includes Grounding system
Includes Control system wiring and cabling
Includes Alarm and shutdown devices
Includes Boiler casing and access doors
Includes Gaskets and seals
Includes Supporting structure and foundation
Excludes The local control panels";;;;;;;;;;;;;;;
SYML;Mooring load monitoring system;"Includes Load cells
Includes Signal conditioning units
Includes Communication modules
Includes Power supply units
Includes Cabling and connectors
Includes Load monitoring system for anchor legs & chains";;;;;;;;;;;;;;;
FTHC;Offloading Hose Coupling;"Includes Seals and gaskets
Includes Bolts and fasteners
Includes Locking mechanisms
Includes Pressure relief devices
Includes Offload Hose Coupler
Excludes Offloading Hose End Valve (North Sea Valve)";;;;;;;;;;;;;;;
IPPB;Push Button;"Includes pushbutton contacts
Includes pushbutton springs
Includes pushbutton illumination (if applicable)
Includes pushbutton mounting hardware
Includes pushbutton seals/gaskets";;;;;;;;;;;;;;;
CMPQ;PAGA System;"Includes Internal power supplies
Includes Internal circuit breakers/fuses
Includes Internal wiring/cabling
Includes Internal diagnostic/test points
Includes Ex (Hazardous Area) and Indoor (Safe Area) Remote Access Unit
Includes Ex (Hazardous Area), Waterproof and Safe Area Speaker
Excludes Telephone Access Unit";;;;;;;;;;;;;;;
CEPV;Pressure Vacuum Breaker;"Includes Seals and gaskets
Includes Spring mechanism
Includes Inlet/outlet connections
Includes Internal linkage mechanism
Includes Internal venting mechanism";;;;;;;;;;;;;;;
PKSL;Slop Water Separation Package;"Includes Internal structural supports and skid framework
Includes Internal heating/cooling elements (if applicable)
Includes Internal sampling points";;;;;;;;;;;;;;;
IPDB;Sound Level Meter;"Includes Internal power supply
Includes Internal microphone
Includes Internal display/screen
Includes Internal calibration mechanism
Includes Internal circuit board/electronics
Includes Internal protective casing
Includes remote cable with microphone (if available)
Includes consideration of equipment EX protection rating inspection requirements (where applicable)";;;;;;;;;;;;;;;
VEBR;Bottle Rack;"Includes mounting hardware
Includes corrosion protection
Includes structural fasteners
Includes rack structure and retaining fittings, ears and eye bolts
Excludes valves
Excludes any local control panels";;;;;;;;;;;;;;;
COSC;Compressor, Screw;"Includes Seal gas system (if applicable)
Includes Coupling alignment tools
Includes Baseplate and foundation bolts
Includes Mechanical seals or labyrinths
Includes Acoustic enclosure (when applicable)
Excludes Silencers and expansion bellows
Excludes Lube oil system
Excludes Lube oil cooler
Excludes Duty/Stand-by lube oil pump and motor
Excludes Lube oil duplex filter
Excludes Lube oil heater
Excludes Lube oil control instrumentation
Excludes Lube oil tank
Excludes Seal oil system
Excludes Seal oil duplex filter (if separate from lube oil system)
Excludes Seal oil separator
Excludes Loading / unloading valve
Excludes Recycle/capacity control valve
Excludes Unit Control Panel";;;;;;;;;;;;;;;
COCE;Centrifugal Compressor;"Includes Seal gas pressure regulator
Includes Coupling guard
Includes Baseplate and foundation bolts
Includes Any cooling system and local instrumentation
Includes Dry gas seal system
Includes Primary, secondary seal and tertiary
Includes External seal gas source heater
Includes Oil cooler
Includes Oil heater (if any)
Includes PCVs, TCVs
Includes Control and Monitoring System
Includes Local instrumentation
Excludes Coalescer
Excludes Filter
Excludes Heater
Excludes Control Panel
Excludes Gearbox
Excludes Scrubber, Filter, Heater which are not part of seal system
Excludes Transmitters not categorized as MHL
Excludes Valves not categorized as MHL";;;;;;;;;;;;;;;
TUPT;TURRET;"Excludes Swivel Leak Recuperation Unit
Excludes Swivel Oil Pressurisation Unit
Excludes Swivel Seal Heavy Oil
Excludes Fluid Swivel
Excludes Main Roller Bearing
Excludes Greasing System
Excludes Weathervaning Locking System";;;;;;;;;;;;;;;
DRGT;Gas Turbine;"Includes Ignition system
Includes Fuel nozzles
Includes Seals and gaskets
Includes Bolt connections and fasteners
Includes Speed sensors
Includes Couplings
Includes Alignment components
Includes Foundation and mounting bolts
Includes Electrical connections and terminals
Includes Control wiring
Includes Pneumatic connections
Includes Lubrication points and fittings
Includes Vent lines
Includes Drain lines
Includes Instrument air supply
Includes Fuel supply lines
Includes Exhaust duct insulation
Includes Fire detection sensors
Includes Gas detection sensors
Includes Manual override mechanisms
Includes Calibration ports
Includes Test points
Includes Condition monitoring ports
Includes Water wash nozzles
Includes Cleaning access points
Includes Inspection ports
Includes Maintenance platforms and ladders
Includes Safety interlocks
Includes Grounding connections
Includes Lighting for maintenance
Includes Ventilation dampers
Includes Acoustic dampers
Includes Vibration dampers
Includes Heat shields
Includes Thermal insulation
Includes Acoustic enclosures
Includes Weather protection covers
Includes Drain pans
Includes Leak detection systems
Includes Moisture traps
Includes Desiccant breathers
Includes Vapor recovery systems
Includes Steam injection ports
Includes Water injection ports
Includes Emissions monitoring ports
Includes Noise reduction baffles
Includes Spark arrestors
Includes Flame arrestors
Includes Backfire prevention devices
Includes Anti-icing systems
Includes De-icing systems
Includes Humidity control systems
Includes Dust suppression systems
Includes Fuel conditioning systems
Includes Coolant conditioning systems
Includes Water treatment systems
Includes Chemical injection points
Includes Sampling points
Includes Calibration gas connections
Includes Test gas connections
Includes Purge gas connections
Includes Vent gas connections
Includes Flare gas connections
Includes Emergency venting systems
Includes Pressure equalization systems
Includes Vacuum relief systems
Includes Overpressure protection systems
Includes Underpressure protection systems
Includes Temperature control systems
Includes Speed control systems
Includes Load control systems
Includes Efficiency monitoring systems
Includes Performance monitoring systems
Includes Condition-based maintenance systems
Includes Predictive maintenance systems
Includes Remote monitoring systems
Includes Communication modules
Includes Network connections
Includes Power supply units
Includes Uninterruptible power supplies
Includes Surge protectors
Includes Lightning arrestors
Includes Ground fault detectors
Includes Earth leakage detectors
Includes Insulation resistance monitors
Includes Phase sequence monitors
Includes Voltage regulators
Includes Frequency converters
Includes Power factor correction units
Includes Transformer units
Includes Distribution boards
Includes Circuit breakers
Includes Fuses
Includes Relays
Includes Starters
Includes Drives
Includes Inverters
Includes Converters
Includes Rectifiers
Includes Choppers
Includes Regulators
Includes Controllers
Includes Programmable logic controllers
Includes Human-machine interfaces
Includes Distributed control systems
Includes Safety instrumented systems
Includes Emergency shutdown systems
Includes Fire and gas systems
Includes Detection systems
Includes Alarm systems
Includes Annunciation systems
Includes Public address systems
Includes General alarm systems
Includes Evacuation systems
Includes Emergency lighting systems
Includes Exit signs
Includes Fire hoses
Includes First aid kits
Includes Safety showers
Includes Respiratory protection
Includes Personal protective equipment
Includes Lockout-tagout devices
Includes Permit-to-work systems
Includes Safety barriers
Includes Guardrails
Includes Handrails
Includes Toe boards
Includes Kick plates
Includes Non-slip surfaces
Includes Anti-fall systems
Includes Harness points
Includes Lanyards
Includes Lifelines
Includes Rescue equipment
Includes Communication equipment
Includes Intercoms
Includes Paging systems
Includes Gas generator
Includes combustion system
Includes HP turbine
Includes Cooling air and sealing air
Includes Power turbine (LP turbine)
Includes Filtration skid
Includes venting and purging
Includes Liquid fuel system
Includes Pumping skid (when applicable)
Includes Combustion and ventilation air intakes
Includes Air Inlet plenum
Includes Ducts and bellows
Includes Filtration elements
Includes Exhaust
Includes Exhaust plenum
Includes Run-down tank (if any)
Includes PCV, TCV
Includes Enclosure and enclosure ventilation
Includes Ventilation ducts and bellows
Includes Ventilation actuated or gravity damper/louver
Includes Starting gear and clutch
Includes Accessory drive
Includes Control and monitoring
Includes Water wash components mounted of turbine skid
Excludes Silencer
Excludes Lube oil console and accessories (whether on turbine skid or separate skid)
Excludes Ventilation fan and motor
Excludes External starting skid including: electric motor, Hydraulic motor & pump, Ventilation fan and cooler
Excludes Starter motor (whether fixed, VFD, or hydraulic)
Excludes On skid control panel & HMI
Excludes In LER Control panel & HMI
Excludes Driven equipment (output gearbox, generator, compressor)
Excludes Fire dampers
Excludes Portable Water wash trolley";;;;;;;;;;;;;;;
PKVA;Cargo Priming/Vacuum Package;"Includes piping connections
Includes seals and gaskets
Includes instrumentation sensors
Includes electrical wiring
Includes cooling system components
Excludes lube oil package";;;;;;;;;;;;;;;
PKCW;Cooling Water Package;This equipment type considers the package as a whole and not its components;;;;;;;;;;;;;;;
PKDR;Air Dryer Package;"Includes Pressure regulator
Includes Heating elements
Includes Refrigerant circuit components
Includes Desiccant material
Includes Condensate drain system
Includes Instrumentation sensors
Includes Electrical connections
Includes Piping connections";;;;;;;;;;;;;;;
PKSS;Seawater Treatment Package;"Includes Chemical dosing system
Includes Instrumentation sensors
Includes Electrical power distribution
Includes Corrosion protection system
Excludes Seawater Lift Pumps
Excludes Air blowers
Excludes HP feed pumps
Excludes Seawater coarse filters
Excludes Multi-media filters
Excludes Guard filters";;;;;;;;;;;;;;;
